order_id,restaurant_name,cuisine_type,city,meal_type,order_date,order_time,order_value,delivery_time_mins,rating,online_payment,discount_applied,discount_amount
1,Haldiram's,Snacks,Delhi,Dinner,2023-04-06,10:33:27,607,28,4.6,Yes,No,0
2,Chaayos,Beverages,Delhi,Breakfast,2023-02-06,17:18:10,597,34,4.3,Yes,No,0
3,Subway,Fast Food,Kolkata,Lunch,2023-06-24,18:55:54,1356,37,4.6,Yes,Yes,128
4,Paradise Biryani,Biryani,Chennai,Lunch,2023-03-25,22:52:10,1713,41,3.8,No,Yes,111
5,Saravana Bhavan,South Indian,Chennai,Breakfast,2023-10-11,17:35:35,1090,54,3.6,No,Yes,95
6,Sagar Ratna,South Indian,Pune,Lunch,2023-10-01,23:05:07,292,22,4.6,Yes,Yes,79
7,Haldiram's,Snacks,Kolkata,Dinner,2023-06-26,10:05:25,1451,73,3.6,Yes,No,0
8,Subway,Fast Food,Chennai,Breakfast,2023-08-25,21:30:44,1450,30,4.4,Yes,Yes,138
9,Pizza Hut,Fast Food,Chennai,Lunch,2023-09-24,05:04:02,814,73,4.0,Yes,Yes,28
10,Paradise Biryani,Biryani,Kolkata,Dinner,2023-01-27,00:55:21,582,56,4.3,Yes,Yes,147
11,Pizza Hut,Fast Food,Jaipur,Lunch,2023-04-14,04:51:43,435,35,4.5,Yes,No,0
12,Moti Mahal,North Indian,Kolkata,Snack,2023-05-21,22:03:05,599,28,4.4,Yes,Yes,48
13,Biryani Blues,Biryani,Bangalore,Snack,2023-08-20,22:56:06,280,44,4.0,No,No,0
14,Wow Momo,Chinese,Delhi,Breakfast,2023-09-23,02:00:04,1249,68,3.5,Yes,Yes,95
15,Chaayos,Beverages,Bangalore,Snack,2023-01-02,14:14:54,1628,66,3.6,Yes,No,0
16,Haldiram's,Snacks,Chennai,Lunch,2023-03-01,16:33:54,915,68,3.4,Yes,No,0
17,Paradise Biryani,Biryani,Jaipur,Breakfast,2023-02-13,18:40:57,893,73,4.0,Yes,Yes,81
18,Moti Mahal,North Indian,Mumbai,Breakfast,2023-10-12,13:52:23,1145,72,3.3,Yes,Yes,141
19,Mainland China,Chinese,Bangalore,Dinner,2023-07-25,06:16:34,1392,47,4.6,Yes,No,0
20,Burger King,Fast Food,Kolkata,Dinner,2023-06-20,11:23:19,1209,48,3.7,Yes,Yes,106
21,Barbeque Nation,North Indian,Hyderabad,Lunch,2023-01-04,03:01:24,295,65,4.0,Yes,Yes,28
22,Paradise Biryani,Biryani,Mumbai,Lunch,2023-04-19,11:35:46,1520,51,3.7,Yes,No,0
23,Moti Mahal,North Indian,Jaipur,Lunch,2023-11-02,01:10:59,1118,71,3.6,Yes,Yes,130
24,Saravana Bhavan,South Indian,Kolkata,Snack,2023-07-01,16:59:07,1643,23,4.6,Yes,Yes,123
25,Paradise Biryani,Biryani,Mumbai,Lunch,2023-03-16,17:44:56,539,54,3.9,No,Yes,91
26,Behrouz Biryani,Biryani,Hyderabad,Breakfast,2023-06-22,10:16:40,1277,26,4.0,Yes,Yes,80
27,Punjab Grill,North Indian,Kolkata,Snack,2023-07-07,06:35:08,587,75,3.6,Yes,Yes,117
28,Barbeque Nation,North Indian,Kolkata,Dinner,2023-12-27,03:46:27,1755,70,3.7,No,No,0
29,Mainland China,Chinese,Jaipur,Lunch,2023-03-16,01:58:35,757,33,4.8,Yes,No,0
30,Paradise Biryani,Biryani,Delhi,Breakfast,2023-08-16,04:55:47,1126,52,4.4,Yes,Yes,150
31,McDonald's,Fast Food,Bangalore,Breakfast,2023-08-20,10:07:45,289,63,4.2,No,Yes,83
32,Moti Mahal,North Indian,Delhi,Breakfast,2023-06-13,03:27:33,1496,57,4.0,Yes,No,0
33,Subway,Fast Food,Pune,Lunch,2023-04-14,11:42:24,960,28,4.6,Yes,No,0
34,Paradise Biryani,Biryani,Mumbai,Breakfast,2023-06-28,07:31:50,1422,56,4.5,Yes,No,0
35,Subway,Fast Food,Chennai,Lunch,2023-12-29,18:36:28,864,24,4.8,Yes,No,0
36,Punjab Grill,North Indian,Jaipur,Dinner,2023-08-26,21:14:59,1489,53,3.5,Yes,No,0
37,Haldiram's,Snacks,Bangalore,Dinner,2023-02-15,03:52:23,369,67,3.8,Yes,No,0
38,Sagar Ratna,South Indian,Hyderabad,Dinner,2023-03-21,09:39:52,1557,60,4.3,No,No,0
39,Domino's Pizza,Fast Food,Mumbai,Snack,2023-11-19,10:05:04,716,22,4.0,Yes,No,0
40,Wow Momo,Chinese,Bangalore,Snack,2023-08-03,14:02:03,1595,47,4.2,Yes,Yes,58
41,Mainland China,Chinese,Delhi,Dinner,2023-08-15,13:22:57,1281,29,4.3,Yes,No,0
42,Saravana Bhavan,South Indian,Delhi,Dinner,2023-03-23,22:03:18,1546,35,4.4,Yes,No,0
43,Chaayos,Beverages,Bangalore,Lunch,2023-12-03,02:42:33,482,71,4.0,No,Yes,65
44,Paradise Biryani,Biryani,Kolkata,Lunch,2023-04-14,22:48:34,476,70,4.0,No,Yes,140
45,KFC,Fast Food,Hyderabad,Snack,2023-05-17,03:03:09,775,72,4.0,Yes,Yes,26
46,Subway,Fast Food,Kolkata,Dinner,2023-04-19,12:46:07,292,69,3.5,No,No,0
47,Mainland China,Chinese,Pune,Breakfast,2023-02-15,03:03:46,684,31,4.4,Yes,Yes,47
48,Sagar Ratna,South Indian,Kolkata,Dinner,2023-10-11,06:31:55,1760,40,4.1,Yes,No,0
49,Moti Mahal,North Indian,Hyderabad,Dinner,2023-01-18,13:42:44,1601,47,3.6,Yes,No,0
